Vec2(5.04, 6.22); not very far from the near end of the bottle
Vec2(5.97, 5.12); not very far behind the far left corner of the bottle
Vec2(5.35, 5.21); in the table surface
Vec2(5.31, 5.11); on the table
Vec2(6.00, 5.70); not very far to the right edge of the bottle
Vec2(5.93, 5.76); very far to the near side of the chair
Vec2(5.57, 5.47); not very near from the middle of the bottle
Vec2(5.09, 5.80); not very far from the right edge of the bottle
Vec2(5.81, 5.94); on the right half of the table
Vec2(5.72, 5.59); not very near behind the right edge of the table
Vec2(5.66, 6.42); very far to the far end of the cup
Vec2(5.19, 5.89); not very near to the near end of the bottle
Vec2(5.88, 6.56); not very far to the right of the cup
Vec2(5.92, 5.01); on the right half of the table surface
Vec2(5.91, 5.85); in the near half of the table
Vec2(5.75, 6.51); very far to the middle of the cup
Vec2(5.52, 6.51); not very near from the right side of the bottle
Vec2(5.58, 5.42); not very near to the right of the left half of the cup
Vec2(5.81, 6.77); on the table
Vec2(5.87, 6.11); not very near from the center of the bottle
Vec2(5.51, 6.46); not very far from the near end of the bottle
Vec2(5.58, 6.00); very far from the near left corner of the cup
Vec2(5.77, 5.86); in the table surface
Vec2(5.60, 5.52); somewhat near in front of the near right corner of the table surface
Vec2(5.23, 6.84); somewhat far to the near edge of the bottle
Vec2(5.30, 5.35); not very far to the left side of the bottle
Vec2(5.08, 6.88); not very near to the left of the middle of the table surface
Vec2(5.37, 6.24); on the far half of the table
Vec2(5.28, 6.55); on the far half of the table surface
Vec2(5.68, 5.64); not very near behind the center of the bottle
Vec2(5.41, 5.61); very far to the middle of the chair
Vec2(5.02, 5.01); on the left half of the cup
Vec2(5.80, 5.46); in the near half of the table
Vec2(5.88, 6.12); not very far to the right of the far half of the cup
Vec2(5.52, 5.09); in the table
Vec2(5.38, 5.37); not very near to the left of the left half of the bottle
Vec2(5.72, 6.33); not very near in front of the near right corner of the bottle
Vec2(5.09, 6.88); on the table
Vec2(5.03, 5.29); not very near to the left of the near edge of the bottle
Vec2(5.37, 6.90); not very near to the left of the center of the table
Vec2(5.24, 6.00); somewhat near behind the right side of the bottle
Vec2(5.58, 6.11); in the far half of the table
Vec2(5.57, 6.86); not very near to the right of the right edge of the cup
Vec2(5.00, 5.53); in the left half of the table surface
Vec2(5.63, 6.93); somewhat near to the right of the near end of the bottle
Vec2(5.60, 6.62); not very far to the right edge of the bottle
Vec2(5.84, 6.05); on the right half of the table surface
Vec2(5.60, 5.54); somewhat near to the left of the far right corner of the table surface
Vec2(5.05, 5.85); on the left half of the table
Vec2(5.53, 5.54); on the right half of the table surface
Vec2(5.18, 5.24); not very near to the right of the cup
Vec2(5.30, 6.56); not very near to the left of the center of the bottle
Vec2(5.70, 5.61); not very far from the far edge of the bottle
Vec2(5.33, 5.56); not very far to the right of the near right corner of the chair
Vec2(5.25, 6.45); not very near in front of the right half of the table
Vec2(5.59, 5.39); not very far behind the far edge of the bottle
Vec2(5.29, 5.21); in the near half of the table
Vec2(5.14, 5.62); not very far to the right of the right edge of the chair
Vec2(5.70, 5.84); on the near half of the table
Vec2(5.17, 5.84); not very far from the center of the bottle
Vec2(5.93, 6.96); in the table surface
Vec2(5.27, 6.20); in the middle of the table
Vec2(5.28, 5.54); not very far from the cup
Vec2(5.59, 5.07); somewhat near in front of the center of the cup
Vec2(5.42, 6.33); not very near to the right of the left half of the cup
Vec2(5.77, 5.50); somewhat far to the middle of the cup
Vec2(5.90, 5.93); on the near half of the table surface
Vec2(5.86, 5.23); not very far behind the near half of the bottle
Vec2(5.15, 6.77); in the left half of the table
Vec2(5.32, 5.69); not very far to the middle of the bottle
Vec2(5.42, 5.57); in the middle of the table
Vec2(5.27, 5.45); not very near to the right side of the cup
Vec2(5.19, 5.51); not very near in front of the center of the cup
Vec2(5.98, 5.14); on the near half of the table
Vec2(5.46, 5.28); in the near half of the table
Vec2(5.97, 6.95); on the right half of the table surface
Vec2(5.88, 6.71); not very near to the right of the far right corner of the bottle
Vec2(5.26, 6.11); in the far half of the table surface
Vec2(5.96, 5.93); somewhat far to the right of the near edge of the chair
Vec2(5.32, 6.76); very far to the left side of the cup
Vec2(5.22, 6.13); not very near from the center of the bottle
Vec2(5.41, 5.35); not very far to the right side of the bottle
Vec2(5.45, 6.79); on the table surface
Vec2(5.59, 5.23); in the right half of the table
Vec2(5.57, 5.66); on the middle of the table
Vec2(5.84, 5.17); not very far from the near end of the cup
Vec2(5.10, 6.68); somewhat far from the right side of the cup
Vec2(5.22, 6.82); somewhat far to the center of the bottle
Vec2(5.41, 5.14); not very far to the right side of the cup
Vec2(5.14, 6.87); on the table
Vec2(5.68, 6.71); somewhat near to the right of the right half of the bottle
Vec2(5.31, 5.01); not very near from the middle of the cup
Vec2(5.72, 6.11); not very near from the left side of the bottle
Vec2(5.38, 6.91); somewhat near to the left of the far end of the table surface
Vec2(5.24, 5.01); not very near to the left of the middle of the table surface
Vec2(5.52, 5.61); on the right half of the table
Vec2(5.16, 5.26); not very near to the right side of the cup
Vec2(5.51, 5.78); not very near to the right side of the bottle
Vec2(5.07, 6.57); not very near behind the middle of the chair
Vec2(5.48, 5.39); somewhat far from the center of the bottle
Vec2(5.95, 6.90); very far to the far end of the cup
Vec2(5.33, 6.05); not very near from the far left corner of the bottle
Vec2(5.41, 6.21); somewhat far to the right of the center of the chair
Vec2(5.26, 6.59); in the far half of the table
Vec2(5.14, 6.46); in the far half of the table
Vec2(5.73, 5.37); in the table surface
Vec2(5.54, 6.88); in the table
Vec2(5.92, 6.36); not very far from the right edge of the bottle
Vec2(5.04, 6.39); not very near behind the middle of the chair
Vec2(5.15, 6.78); not very near to the left of the middle of the bottle
Vec2(5.64, 5.01); not very near from the middle of the cup
Vec2(5.46, 6.65); not very far from the right side of the bottle
Vec2(5.85, 6.16); somewhat far to the right of the left half of the chair
Vec2(5.42, 5.96); somewhat near to the left of the middle of the table surface
Vec2(5.53, 5.25); somewhat far from the far edge of the bottle
Vec2(5.23, 5.16); in the table surface
Vec2(5.75, 6.19); not very near to the near edge of the bottle
Vec2(5.36, 6.98); very far from the right edge of the chair
Vec2(5.94, 6.01); on the table
Vec2(5.14, 5.08); at the right side of the cup
Vec2(5.49, 6.59); somewhat near to the left of the center of the bottle
Vec2(5.37, 6.70); somewhat far from the near end of the bottle
Vec2(5.96, 6.22); not very far from the bottle
Vec2(5.89, 6.31); on the table
Vec2(5.97, 6.96); very far from the right side of the cup
