Vec2(0.69, 0.12) ; not far from the lower right corner
Vec2(0.91, 0.89) ; close to the right edge
Vec2(0.30, 1.12) ; not near the near edge
Vec2(0.97, 1.81) ; not far from the right side
Vec2(0.45, 0.19) ; not far from the middle
Vec2(0.56, 0.53) ; quite far from the right edge
Vec2(0.16, 0.06) ; somewhat near the middle
Vec2(0.32, 0.92) ; kind of close to the left side
Vec2(0.78, 0.41) ; not very near the near end
Vec2(0.01, 1.64) ; nearly at the left side
Vec2(0.67, 1.99) ; at the far edge
Vec2(0.55, 1.67) ; kind of close to the middle
Vec2(0.52, 1.83) ; not far from the upper left corner
Vec2(0.53, 1.37) ; at the middle
Vec2(0.01, 1.50) ; somewhat close to the left side
Vec2(0.46, 0.82) ; quite far from the middle
Vec2(0.66, 0.25) ; really far from the near edge
Vec2(0.17, 0.87) ; somewhat close to the left side
Vec2(0.55, 0.15) ; quite near the middle
Vec2(0.36, 0.10) ; not far from the near end
Vec2(0.38, 1.92) ; at the middle
Vec2(1.00, 1.80) ; at the right side
Vec2(0.22, 0.29) ; kind of near the left edge
Vec2(0.45, 0.43) ; sort of close to the middle
Vec2(0.78, 1.12) ; really far from the center
Vec2(0.80, 0.04) ; not far from the near end
Vec2(0.99, 0.51) ; not quite far from the right side
Vec2(0.17, 1.97) ; at the far end
Vec2(0.69, 1.19) ; kind of close to the right side
Vec2(0.54, 0.69) ; at the middle
Vec2(0.48, 1.86) ; kind of near the middle
Vec2(0.74, 1.54) ; really far from the far end
Vec2(0.03, 0.70) ; somewhat far from the right edge
Vec2(0.92, 0.39) ; not close to the lower right corner
Vec2(0.72, 1.23) ; somewhat close to the right side
Vec2(0.82, 0.84) ; not very near the right edge
Vec2(0.20, 1.98) ; not far from the far edge
Vec2(0.43, 0.87) ; not far from the middle
Vec2(0.14, 1.19) ; close to the left edge
Vec2(0.44, 1.65) ; very close to the middle
Vec2(0.39, 1.46) ; not far from the upper left corner
Vec2(0.43, 2.00) ; at the far edge
Vec2(0.66, 1.00) ; close to the middle
Vec2(0.15, 0.72) ; not at the middle
