Vec2(0.45, 1.25) ; at the middle of the table ; (S1 (PP (IN at) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table))))))
Vec2(0.57, 1.41) ; somewhat near the center of the table ; (S1 (FRAG (RB somewhat) (PP (IN near) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.85, 0.54) ; quite near the right side of the table ; (S1 (NP (PDT quite) (PP (IN near) (NP (NP (DT the) (JJ right) (NN side)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.19, 1.18) ; really far from the left edge of the table ; (S1 (ADVP (ADVP (RB really) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ left) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.72, 0.21) ; not really close to the right side of the table ; (S1 (FRAG (RB not) (ADJP (RB really) (RB close) (PP (TO to) (NP (NP (DT the) (JJ right) (NN side)) (PP (IN of) (NP (DT the) (NN table))))))))
Vec2(0.06, 1.71) ; rather near the left side of the table ; (S1 (PP (RB rather) (PP (IN near) (NP (NP (DT the) (JJ left) (NN side)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.83, 0.00) ; not far from the near end of the table ; (S1 (ADVP (ADVP (RB not) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ near) (NN end)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.65, 1.52) ; almost at the center of the table ; (S1 (FRAG (RB almost) (PP (IN at) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.96, 1.43) ; almost at the right side of the table ; (S1 (FRAG (RB almost) (PP (IN at) (NP (NP (DT the) (JJ right) (NN side)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.43, 0.12) ; not far from the center of the table ; (S1 (ADVP (ADVP (RB not) (RB far)) (PP (IN from) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.17, 1.20) ; not very close to the center of the table ; (S1 (FRAG (RB not) (ADJP (RB very) (RB close) (PP (TO to) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table))))))))
Vec2(0.77, 1.80) ; not rather far from the left edge of the table ; (S1 (FRAG (RB not) (ADVP (RB rather) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ left) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.16, 1.72) ; quite far from the other end of the table ; (S1 (ADVP (ADVP (RB quite) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ other) (NN end)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.05, 1.07) ; almost at the left side of the table ; (S1 (FRAG (RB almost) (PP (IN at) (NP (NP (DT the) (JJ left) (NN side)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.62, 0.38) ; not close to the this end of the right edge of the table ; (S1 (FRAG (RB not) (ADJP (RB close) (PP (TO to) (NP (NP (DT the) (DT this) (NN end)) (PP (IN of) (NP (NP (DT the) (JJ right) (NN edge)) (PP (IN of) (NP (DT the) (NN table))))))))))
Vec2(0.21, 1.46) ; not rather far from the left edge of the table ; (S1 (FRAG (RB not) (ADVP (RB rather) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ left) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.55, 1.17) ; at the center of the table ; (S1 (PP (IN at) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table))))))
Vec2(0.42, 1.79) ; fairly close to the middle of the table ; (S1 (ADVP (RB fairly) (RB close) (PP (TO to) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.01, 0.98) ; rather close to the left edge of the table ; (S1 (ADVP (RB rather) (RB close) (PP (TO to) (NP (NP (DT the) (JJ left) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.74, 0.96) ; at the center of the table ; (S1 (PP (IN at) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table))))))
Vec2(0.94, 1.08) ; somewhat near the right edge of the table ; (S1 (FRAG (RB somewhat) (PP (IN near) (NP (NP (DT the) (JJ right) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.88, 1.80) ; rather close to the far edge of the table ; (S1 (ADVP (RB rather) (RB close) (PP (TO to) (NP (NP (DT the) (JJ far) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.61, 0.89) ; close to the center of the table ; (S1 (S (ADJP (RB close) (PP (TO to) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table))))))))
Vec2(0.32, 1.44) ; nearly at the left edge of the table ; (S1 (FRAG (RB nearly) (PP (IN at) (NP (NP (DT the) (JJ left) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.89, 0.86) ; really far from the center of the table ; (S1 (ADVP (ADVP (RB really) (RB far)) (PP (IN from) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.34, 0.72) ; not very close to the near end of the table ; (S1 (FRAG (RB not) (ADJP (RB very) (RB close) (PP (TO to) (NP (NP (DT the) (JJ near) (NN end)) (PP (IN of) (NP (DT the) (NN table))))))))
Vec2(0.03, 0.58) ; not rather far from the left side of the table ; (S1 (FRAG (RB not) (ADVP (RB rather) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ left) (NN side)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.19, 0.35) ; not very near the my end of the left edge of the table ; (S1 (FRAG (ADVP (RB not) (RB very)) (PP (IN near) (NP (NP (DT the) (JJ my) (NN end)) (PP (IN of) (NP (NP (DT the) (JJ left) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
